INFORMATION_NEED	105-5
precision	0.750
recall	0.100
f1	0.176
prec@10	0.300
avg_prec	1.000
recall_precision
0.033	1.000
0.067	1.000
0.100	1.000
interpolated_recall_precision
0.000	1.000
0.100	1.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	106-4
precision	0.133
recall	0.113
f1	0.122
prec@10	0.600
avg_prec	0.580
recall_precision
0.019	0.333
0.038	0.500
0.057	0.600
0.075	0.667
0.094	0.714
0.113	0.667
interpolated_recall_precision
0.000	0.714
0.100	0.667
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	107-2
precision	0.467
recall	0.304
f1	0.368
prec@10	0.700
avg_prec	0.735
recall_precision
0.014	1.000
0.029	0.667
0.043	0.750
0.058	0.800
0.072	0.833
0.087	0.857
0.101	0.778
0.116	0.667
0.130	0.692
0.145	0.714
0.159	0.733
0.174	0.750
0.188	0.765
0.203	0.737
0.217	0.750
0.232	0.762
0.246	0.680
0.261	0.621
0.275	0.633
0.290	0.625
0.304	0.618
interpolated_recall_precision
0.000	1.000
0.100	0.778
0.200	0.762
0.300	0.618
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	109-2
precision	0.438
recall	0.184
f1	0.259
prec@10	0.700
avg_prec	0.982
recall_precision
0.026	1.000
0.053	1.000
0.079	1.000
0.105	1.000
0.132	1.000
0.158	1.000
0.184	0.875
interpolated_recall_precision
0.000	1.000
0.100	1.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	208-1
precision	0.360
recall	0.191
f1	0.250
prec@10	0.600
avg_prec	0.684
recall_precision
0.021	1.000
0.043	1.000
0.064	1.000
0.085	0.571
0.106	0.625
0.128	0.667
0.149	0.467
0.170	0.421
0.191	0.409
interpolated_recall_precision
0.000	1.000
0.100	0.667
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

TOTAL
precision	0.429
recall	0.179
f1	0.252
prec@10	0.580
MAP	0.796
interpolated_recall_precision
0.000	0.943
0.100	0.822
0.200	0.152
0.300	0.124
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

